province,year_month,AQI,CO,NO2,O3,PM10,PM2.5,SO2,population,gdp,region,climate_type,is_coastal
上海市,1970-01,79.715,0.735,40.15,92.065,84.52,56.445,14.299999999999999,24870895.0,44652.8,华东,亚热带季风气候,是
云南省,1970-01,50.665,1.5750000000000002,21.775,76.0925,54.085,27.9425,18.134999999999998,8465000.0,7541.4,西南,亚热带季风气候,否
内蒙古自治区,1970-01,107.79,0.9275,28.9875,79.03,155.26749999999998,41.3625,26.6075,2856292.0,3749.9,华北,温带大陆性气候,否
北京市,1970-01,111.36,0.93,55.34,97.89,143.99,69.59,16.87,21893095.0,41610.9,华北,温带季风气候,否
吉林省,1970-01,58.795,0.8500000000000001,40.14,66.065,69.415,31.355,10.96,3623713.0,1517.9,东北,温带季风气候,否
四川省,1970-01,99.69,0.8825000000000001,31.83125,61.9425,118.90125,71.22749999999999,20.4725,2783486.0,2685.5,西南,亚热带季风气候,否
天津市,1970-01,123.08,1.43,57.05,64.38,151.83,87.34,31.12,13866009.0,16103.9,华北,温带季风气候,是
宁夏回族自治区,1970-01,98.215,1.015,29.369999999999997,90.125,134.61,44.045,28.839999999999996,1401577.0,354.5,西北,温带大陆性气候,否
安徽省,1970-01,133.86666666666667,1.1833333333333333,27.28333333333333,52.166666666666664,174.13666666666666,95.11666666666667,25.62,9362701.0,12013.1,华东,亚热带季风气候,否
山东省,1970-01,105.22033333333334,1.0290000000000001,37.94433333333333,101.57733333333334,142.76966666666667,66.45266666666666,42.29233333333333,2190541.0,3620.7,华东,温带季风气候,是
山西省,1970-01,103.56199999999998,1.434,36.96,62.275999999999996,146.89600000000002,56.7,42.672000000000004,4316611.0,1760.4,华北,温带季风气候,否
广东省,1970-01,42.558181818181815,0.989090909090909,23.019545454545455,41.029545454545456,43.18818181818182,24.162727272727274,16.21136363636364,10466607.0,11200.3,华南,亚热带季风气候,是
广西壮族自治区,1970-01,50.504999999999995,1.2850000000000001,19.895,64.7,54.17,19.985,13.54,1775688.0,1210.2,华南,亚热带季风气候,是
新疆维吾尔自治区,1970-01,103.55333333333333,0.68,27.900000000000002,71.42666666666666,142.69333333333333,39.42,13.553333333333333,4075794.0,3893.2,西北,温带大陆性气候,否
江苏省,1970-01,116.91791666666667,1.02875,41.246249999999996,97.98708333333333,147.60666666666665,80.92625,33.01416666666667,9314712.0,16907.9,华东,亚热带季风气候,否
江西省,1970-01,87.88,1.0550000000000002,31.61,44.4,107.64,58.144999999999996,28.18,4628875.0,4026.6,华东,亚热带季风气候,否
河北省,1970-01,118.56272727272727,1.1336363636363638,42.33818181818182,90.50636363636364,168.91272727272727,65.75727272727273,44.33909090909091,9412023.0,3880.3,华北,温带季风气候,否
河南省,1970-01,107.03625,1.34625,40.375,78.61,139.55,70.21124999999999,42.44625,2237479.0,1676.4,华中,温带季风气候,否
浙江省,1970-01,83.69142857142857,0.9407142857142857,36.93785714285714,76.94357142857143,95.53,58.80214285714286,18.550714285714285,573100.0,132.5,华东,亚热带季风气候,否
海南省,1970-01,27.320000000000004,0.5566666666666666,13.72,41.32333333333333,26.493333333333336,12.863333333333335,3.296666666666667,1035118.0,673.1,华南,热带季风气候,是
湖北省,1970-01,130.80999999999997,1.1233333333333333,48.29,54.52333333333333,165.60666666666668,93.58333333333333,32.02,4012804.0,5502.7,华中,亚热带季风气候,否
湖南省,1970-01,100.452,1.512,28.656,39.144,122.154,69.3,33.392,5056835.0,4710.7,华中,亚热带季风气候,否
甘肃省,1970-01,95.28333333333335,1.0066666666666666,30.083333333333332,98.25333333333333,139.83666666666667,44.02,27.24,4374432.0,3343.5,西北,温带大陆性气候,否
福建省,1970-01,64.01666666666667,1.0133333333333334,32.87,53.47,72.77,40.38999999999999,10.163333333333334,5289879.0,7802.7,华东,亚热带季风气候,是
西藏自治区,1970-01,55.83,1.14,14.48,113.43,61.94,25.0,13.75,867500.0,747.6,西南,高原高寒气候,否
贵州省,1970-01,77.775,0.725,32.005,43.045,89.885,54.655,16.439999999999998,5961940.0,4921.2,西南,亚热带季风气候,否
辽宁省,1970-01,76.95545454545454,1.0236363636363637,36.10181818181818,83.99454545454545,93.73,46.60090909090909,21.568181818181817,2426000.0,912.1,东北,温带季风气候,是
重庆市,1970-01,70.8,1.07,35.58,37.3,86.29,48.56,19.13,32054159.0,29129.0,西南,亚热带季风气候,否
陕西省,1970-01,102.50333333333333,1.2916666666666667,40.63333333333333,58.33166666666667,145.02666666666667,63.446666666666665,19.671666666666667,3742634.0,2817.6,西北,温带季风气候,否
青海省,1970-01,82.96,0.9,32.07,69.81,107.09,50.83,41.12,2468552.0,1447.5,西北,高原高寒气候,否
黑龙江省,1970-01,43.95,0.565,24.9925,59.917500000000004,46.0525,22.785,10.4025,5490100.0,5490.1,东北,温带季风气候,否
